Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Aleatorio,0,3,4
Palindromo,0,2,4
Repetidos,0,3,4
Casi Idéntico,0,1,4
Transposicion,0,4,4
Aleatorio,1,2,16
Palindromo,1,3,16
Repetidos,1,7,16
Casi Idéntico,1,3,16
Transposicion,1,2,16
Aleatorio,2,3,36
Palindromo,2,10,36
Repetidos,2,3,36
Casi Idéntico,2,3,36
Transposicion,2,2,36
Aleatorio,3,2,64
Palindromo,3,3,64
Repetidos,3,2,64
Casi Idéntico,3,3,64
Transposicion,3,3,64
Aleatorio,4,4,100
Palindromo,4,3,100
Repetidos,4,3,100
Casi Idéntico,4,3,100
Transposicion,4,3,100
Aleatorio,5,3,144
Palindromo,5,3,144
Repetidos,5,4,144
Casi Idéntico,5,3,144
Transposicion,5,3,144
Aleatorio,6,6,196
Palindromo,6,5,196
Repetidos,6,11,196
Casi Idéntico,6,7,196
Transposicion,6,6,196
Aleatorio,7,7,256
Palindromo,7,5,256
Repetidos,7,5,256
Casi Idéntico,7,7,196
Transposicion,7,5,256
Aleatorio,8,5,324
Palindromo,8,7,324
Repetidos,8,7,324
Casi Idéntico,8,4,196
Transposicion,8,6,324
Aleatorio,9,7,400
Palindromo,9,7,400
Repetidos,9,8,400
Casi Idéntico,9,5,196
Transposicion,9,7,400
Aleatorio,10,11,484
Palindromo,10,7,484
Repetidos,10,23,484
Casi Idéntico,10,5,196
Transposicion,10,11,484
Aleatorio,11,10,576
Palindromo,11,9,576
Repetidos,11,11,576
Casi Idéntico,11,5,196
Transposicion,11,8,576
Aleatorio,12,9,676
Palindromo,12,8,676
Repetidos,12,11,676
Casi Idéntico,12,3,196
Transposicion,12,9,676
Aleatorio,13,12,784
Palindromo,13,9,784
Repetidos,13,12,784
Casi Idéntico,13,3,196
Transposicion,13,10,784
Aleatorio,14,13,900
Palindromo,14,12,900
Repetidos,14,22,900
Casi Idéntico,14,3,196
Transposicion,14,11,900
Aleatorio,15,12,1024
Palindromo,15,12,1024
Repetidos,15,16,1024
Casi Idéntico,15,5,196
Transposicion,15,13,1024
Aleatorio,16,14,1156
Palindromo,16,13,1156
Repetidos,16,18,1156
Casi Idéntico,16,3,196
Transposicion,16,13,1156
Aleatorio,17,15,1296
Palindromo,17,15,1296
Repetidos,17,21,1296
Casi Idéntico,17,4,196
Transposicion,17,15,1296
Aleatorio,18,22,1444
Palindromo,18,17,1444
Repetidos,18,24,1444
Casi Idéntico,18,3,196
Transposicion,18,17,1444
Aleatorio,19,25,1600
Palindromo,19,18,1600
Repetidos,19,26,1600
Casi Idéntico,19,3,196
Transposicion,19,18,1600
Aleatorio,20,22,1764
Palindromo,20,22,1764
Repetidos,20,29,1764
Casi Idéntico,20,5,196
Transposicion,20,22,1764
Aleatorio,21,23,1936
Palindromo,21,22,1936
Repetidos,21,29,1936
Casi Idéntico,21,3,196
Transposicion,21,22,1936
Aleatorio,22,37,2116
Palindromo,22,26,2116
Repetidos,22,33,2116
Casi Idéntico,22,3,196
Transposicion,22,23,2116
Aleatorio,23,26,2304
Palindromo,23,26,2304
Repetidos,23,36,2304
Casi Idéntico,23,3,196
Transposicion,23,25,2304
Aleatorio,24,29,2500
Palindromo,24,28,2500
Repetidos,24,39,2500
Casi Idéntico,24,3,196
Transposicion,24,28,2500
Aleatorio,25,30,2704
Palindromo,25,31,2704
Repetidos,25,44,2704
Casi Idéntico,25,3,196
Transposicion,25,29,2704
Aleatorio,26,40,2916
Palindromo,26,36,2916
Repetidos,26,46,2916
Casi Idéntico,26,3,196
Transposicion,26,32,2916
Aleatorio,27,36,3136
Palindromo,27,34,3136
Repetidos,27,50,3136
Casi Idéntico,27,5,196
Transposicion,27,34,3136
Aleatorio,28,37,3364
Palindromo,28,37,3364
Repetidos,28,55,3364
Casi Idéntico,28,3,196
Transposicion,28,39,3364
Aleatorio,29,41,3600
Palindromo,29,39,3600
Repetidos,29,56,3600
Casi Idéntico,29,3,196
Transposicion,29,38,3600
Aleatorio,30,50,3844
Palindromo,30,42,3844
Repetidos,30,61,3844
Casi Idéntico,30,3,196
Transposicion,30,42,3844
Aleatorio,31,45,4096
Palindromo,31,47,4096
Repetidos,31,66,4096
Casi Idéntico,31,5,196
Transposicion,31,45,4096
Aleatorio,32,49,4356
Palindromo,32,50,4356
Repetidos,32,69,4356
Casi Idéntico,32,5,196
Transposicion,32,49,4356
Aleatorio,33,258,4624
Palindromo,33,53,4624
Repetidos,33,73,4624
Casi Idéntico,33,5,196
Transposicion,33,51,4624
Aleatorio,34,67,4900
Palindromo,34,55,4900
Repetidos,34,78,4900
Casi Idéntico,34,5,196
Transposicion,34,54,4900
Aleatorio,35,57,5184
Palindromo,35,57,5184
Repetidos,35,85,5184
Casi Idéntico,35,5,196
Transposicion,35,57,5184
Aleatorio,36,60,5476
Palindromo,36,61,5476
Repetidos,36,86,5476
Casi Idéntico,36,5,196
Transposicion,36,61,5476
Aleatorio,37,65,5776
Palindromo,37,62,5776
Repetidos,37,91,5776
Casi Idéntico,37,5,196
Transposicion,37,64,5776
Aleatorio,38,77,6084
Palindromo,38,69,6084
Repetidos,38,96,6084
Casi Idéntico,38,4,196
Transposicion,38,67,6084
Aleatorio,39,69,6400
Palindromo,39,68,6400
Repetidos,39,101,6400
Casi Idéntico,39,4,196
Transposicion,39,69,6400
Aleatorio,40,73,6724
Palindromo,40,73,6724
Repetidos,40,109,6724
Casi Idéntico,40,4,196
Transposicion,40,100,6724
Aleatorio,41,77,7056
Palindromo,41,77,7056
Repetidos,41,110,7056
Casi Idéntico,41,5,196
Transposicion,41,76,7056
Aleatorio,42,88,7396
Palindromo,42,89,7396
Repetidos,42,118,7396
Casi Idéntico,42,4,196
Transposicion,42,81,7396
Aleatorio,43,87,7744
Palindromo,43,83,7744
Repetidos,43,126,7744
Casi Idéntico,43,5,196
Transposicion,43,86,7744
Aleatorio,44,93,8100
Palindromo,44,91,8100
Repetidos,44,129,8100
Casi Idéntico,44,4,196
Transposicion,44,89,8100
Aleatorio,45,98,8464
Palindromo,45,93,8464
Repetidos,45,163,8464
Casi Idéntico,45,3,196
Transposicion,45,90,8464
Aleatorio,46,107,8836
Palindromo,46,100,8836
Repetidos,46,176,8836
