Caso,Tamaño_m,Tamaño_n,TiempoFB (ns),Resultado FB,TiempoDP (ns),Resultado DP
Aleatorio,0,0,100,0,2000,0
Aleatorio,0,1,100,1,2100,1
Aleatorio,0,2,100,2,2000,2
Aleatorio,0,3,100,3,2000,3
Aleatorio,0,4,100,4,2100,4
Aleatorio,0,5,100,5,2100,5
Aleatorio,0,6,100,6,2200,6
Aleatorio,0,7,100,7,2700,7
Aleatorio,0,8,100,8,2100,8
Aleatorio,0,9,0,9,2400,9
Aleatorio,0,10,100,10,2300,10
Aleatorio,0,11,100,11,2100,11
Aleatorio,0,12,100,12,2100,12
Aleatorio,1,0,100,1,3000,1
Aleatorio,1,1,300,2,2100,2
Aleatorio,1,2,300,3,5400,3
Aleatorio,1,3,400,4,2800,4
Aleatorio,1,4,400,5,2600,5
Aleatorio,1,5,400,6,32800,6
Aleatorio,1,6,300,7,2300,7
Aleatorio,1,7,400,8,1900,8
Aleatorio,1,8,500,7,1800,7
Aleatorio,1,9,600,10,1800,10
Aleatorio,1,10,500,9,29300,9
Aleatorio,1,11,800,12,2400,12
Aleatorio,1,12,600,13,2500,13
Aleatorio,2,0,100,2,2300,2
Aleatorio,2,1,400,3,6600,3
Aleatorio,2,2,600,4,3400,4
Aleatorio,2,3,900,5,2800,5
Aleatorio,2,4,1200,6,2800,6
Aleatorio,2,5,1700,7,2900,7
Aleatorio,2,6,2100,6,3400,6
Aleatorio,2,7,2700,9,3400,9
Aleatorio,2,8,3500,10,3400,10
Aleatorio,2,9,4200,9,3700,9
Aleatorio,2,10,4900,12,3600,12
Aleatorio,2,11,6100,11,3800,11
Aleatorio,2,12,7800,12,5400,12
Aleatorio,3,0,100,3,3400,3
Aleatorio,3,1,400,4,6200,4
Aleatorio,3,2,900,5,3400,5
Aleatorio,3,3,1700,4,1900,4
Aleatorio,3,4,3200,7,3100,7
Aleatorio,3,5,5200,8,2000,8
Aleatorio,3,6,8100,9,3100,9
Aleatorio,3,7,12400,8,2500,8
Aleatorio,3,8,17400,9,4500,9
Aleatorio,3,9,24300,10,4500,10
Aleatorio,3,10,29900,9,4700,9
Aleatorio,3,11,41800,12,3100,12
Aleatorio,3,12,54400,13,3100,13
Aleatorio,4,0,0,4,1600,4
Aleatorio,4,1,400,5,1800,5
Aleatorio,4,2,1100,6,1900,6
Aleatorio,4,3,3100,5,2400,5
Aleatorio,4,4,7000,6,2300,6
Aleatorio,4,5,13700,7,2100,7
Aleatorio,4,6,25600,8,5100,8
Aleatorio,4,7,45700,11,4600,11
Aleatorio,4,8,75800,10,4000,10
Aleatorio,4,9,116600,13,5000,13
Aleatorio,4,10,173200,14,5900,14
Aleatorio,4,11,244700,13,3400,13
Aleatorio,4,12,353500,16,4800,16
Aleatorio,5,0,100,5,2600,5
Aleatorio,5,1,400,6,1900,6
Aleatorio,5,2,1500,5,1900,5
Aleatorio,5,3,5200,6,2200,6
Aleatorio,5,4,14700,9,4000,9
Aleatorio,5,5,34500,8,3400,8
Aleatorio,5,6,74800,11,4000,11
Aleatorio,5,7,174400,9,8200,9
Aleatorio,5,8,264400,9,6100,9
Aleatorio,5,9,434000,10,5800,10
Aleatorio,5,10,723600,13,6100,13
Aleatorio,5,11,1206000,14,7400,14
Aleatorio,5,12,1635700,15,5900,15
Aleatorio,6,0,100,6,3100,6
Aleatorio,6,1,600,7,2000,7
Aleatorio,6,2,2100,8,2300,8
Aleatorio,6,3,8400,9,2300,9
Aleatorio,6,4,27700,10,2500,10
Aleatorio,6,5,128600,9,5800,9
Aleatorio,6,6,173900,8,4900,8
Aleatorio,6,7,381100,9,4100,9
Aleatorio,6,8,789800,10,4900,10
Aleatorio,6,9,1533000,13,4200,13
Aleatorio,6,10,2494700,10,6800,10
Aleatorio,6,11,4229400,15,4200,15
Aleatorio,6,12,6956600,14,7600,14
Aleatorio,7,0,100,7,3200,7
Aleatorio,7,1,500,8,3100,8
Aleatorio,7,2,2700,9,3600,9
Aleatorio,7,3,11700,6,4000,6
Aleatorio,7,4,44700,9,4700,9
Aleatorio,7,5,164200,12,5000,12
Aleatorio,7,6,408800,11,4800,11
